,Source,Location ID,Latitude,Longitude,Elevation,Year,Month,Day,Hour,Minute,GHI (w/m2),Temperature (c),Relative Humidity (%),Solar Zenith Angle (Degree),Wind Direction (Degree),Wind Speed (m/s)
7164,NSRDB,405740,33.49,-107.74,2165,2015,10,26,12,30,0,5.604394531250023,62.10997772216797,101.97074058195743,211.57582092285156,1.1717839241027832
7165,NSRDB,405740,33.49,-107.74,2165,2015,10,26,13,30,0,6.892419433593773,60.26846694946289,89.70904475133757,218.10037231445312,1.043074369430542
7166,NSRDB,405740,33.49,-107.74,2165,2015,10,26,14,30,43,10.055902099609398,49.667415618896484,77.93706556067677,227.98448181152344,1.05667245388031
7167,NSRDB,405740,33.49,-107.74,2165,2015,10,26,15,30,388,13.190820312500023,39.65946578979492,67.01074005918093,230.6413116455078,1.1120390892028809
7168,NSRDB,405740,33.49,-107.74,2165,2015,10,26,16,30,565,15.747979736328148,37.246395111083984,57.495097624584865,241.21014404296875,1.195562481880188
7169,NSRDB,405740,33.49,-107.74,2165,2015,10,26,17,30,691,17.886285400390648,34.99369812011719,50.25201511849531,255.01292419433594,1.3120076656341553
7170,NSRDB,405740,33.49,-107.74,2165,2015,10,26,18,30,613,19.232934570312523,32.90027618408203,46.392049789781936,259.88421630859375,1.4350522756576538
7171,NSRDB,405740,33.49,-107.74,2165,2015,10,26,19,30,538,19.699609375000023,31.733169555664062,46.77510803989568,260.55084228515625,1.6437582969665527
7172,NSRDB,405740,33.49,-107.74,2165,2015,10,26,20,30,331,19.629632568359398,31.4769229888916,51.3052507231883,262.25482177734375,1.9568946361541748
7173,NSRDB,405740,33.49,-107.74,2165,2015,10,26,21,30,536,18.850305175781273,32.5514030456543,59.022081596993075,263.96014404296875,2.289226770401001
7174,NSRDB,405740,33.49,-107.74,2165,2015,10,26,22,30,111,17.287561035156273,35.967411041259766,68.83843103149198,264.7727966308594,2.4428627490997314
7175,NSRDB,405740,33.49,-107.74,2165,2015,10,26,23,30,4,15.281976318359398,44.838584899902344,79.94925229563475,265.32489013671875,2.319516658782959
7176,NSRDB,405740,33.49,-107.74,2165,2015,10,27,0,30,0,13.600854492187523,55.27104568481445,91.83642857780674,265.1258239746094,2.2014756202697754
7177,NSRDB,405740,33.49,-107.74,2165,2015,10,27,1,30,0,12.463739013671898,60.19430160522461,104.15825393331785,270.65972900390625,2.233222246170044
7178,NSRDB,405740,33.49,-107.74,2165,2015,10,27,2,30,0,11.422326660156273,62.98479461669922,116.65884304509365,282.900146484375,2.3802084922790527
7179,NSRDB,405740,33.49,-107.74,2165,2015,10,27,3,30,0,10.480676269531273,65.1121597290039,129.07788336619143,298.9595642089844,2.639836311340332
7180,NSRDB,405740,33.49,-107.74,2165,2015,10,27,4,30,0,9.575280761718773,66.14832305908203,141.01641291603102,311.57354736328125,2.951104164123535
7181,NSRDB,405740,33.49,-107.74,2165,2015,10,27,5,30,0,8.781030273437523,66.5526123046875,151.58510746869968,317.99261474609375,3.2566585540771484
7182,NSRDB,405740,33.49,-107.74,2165,2015,10,27,6,30,0,8.053613281250023,67.00709533691406,158.43811738289315,319.5717468261719,3.444289445877075
7183,NSRDB,405740,33.49,-107.74,2165,2015,10,27,7,30,0,7.328607177734398,67.94673156738281,157.7269868542886,318.8079833984375,3.483668327331543
7184,NSRDB,405740,33.49,-107.74,2165,2015,10,27,8,30,0,6.655999755859398,69.15992736816406,149.99220463883768,317.973388671875,3.4019579887390137
7185,NSRDB,405740,33.49,-107.74,2165,2015,10,27,9,30,0,6.087060546875023,70.46524047851562,139.0947858876595,315.14251708984375,3.2688796520233154
7186,NSRDB,405740,33.49,-107.74,2165,2015,10,27,10,30,0,5.638604736328148,71.61870574951172,127.04346111257874,312.442138671875,3.188319683074951
7187,NSRDB,405740,33.49,-107.74,2165,2015,10,27,11,30,0,5.296136474609398,72.47554779052734,114.60149170648641,310.338134765625,3.2064590454101562
